0H 0L 1H 1L 2H 2L 3H 3L 4H 4L
0.922946 1.152059 0.990180 1.033125 0.944338 1.057089 0.944338 1.038450 0.865898 1.176023

1.087976 1.199987 0.989161 1.174248 1.065564 1.071290 0.978974 1.171585 1.150117 1.257679

0.877104 1.041113 0.800701 0.972771 1.083901 1.049989 0.858767 1.032237 0.847562 0.967445

1.045190 0.931055 1.055377 0.998510 0.834318 1.007386 1.015648 0.962120 1.068620 0.918629

1.005461 1.073065 0.938226 0.838748 1.145023 1.255904 0.960638 0.863600 0.986105 1.089929

0.955544 1.051764 1.059452 1.041113 0.883216 0.714489 1.054358 0.948806 0.913777 1.099692

0.998330 0.887564 1.122612 1.054427 1.031947 1.164485 1.126686 1.103243 1.071676 0.807684

1.133817 0.940818 0.932114 0.814784 0.852655 0.930168 0.939245 0.896440 1.084920 1.012711

0.876085 1.183123 1.084920 1.145846 0.910721 0.923955 1.018704 1.040226 0.874048 1.187561

0.907665 0.877801 0.878123 0.986972 1.102237 1.079278 0.928039 1.046439 0.913777 0.781057

1.065564 0.955907 1.099181 1.001173 1.103256 1.009161 1.084920 0.958570 1.113443 1.054427

0.843487 0.976321 1.077789 0.949694 1.226519 1.187561 1.077789 0.950582 0.735504 0.963007

0.954525 0.943481 0.911740 1.051764 0.813944 0.782832 0.929058 1.029575 1.108350 0.939931

1.005461 0.983421 1.019722 1.062415 0.854692 0.994960 0.981012 1.072178 0.944338 1.001173

1.160304 0.940818 0.856730 0.935493 1.022779 1.062415 0.862842 0.967445 1.183734 0.924842

0.877104 1.149396 1.045190 1.048214 0.965731 1.156497 1.028891 1.006498 0.795608 1.199987

1.103256 0.897328 1.129742 0.804133 1.124649 0.674549 1.164378 0.852949 1.230594 0.830760

0.821075 1.072178 1.015648 1.306495 0.570474 1.056202 1.010554 1.228389 0.698831 1.091704

0.939245 1.172473 0.951469 0.983421 1.219388 1.249691 0.968787 1.108568 1.045190 1.176910

1.062508 0.874251 1.305978 1.049101 1.214295 1.199987 1.271342 0.959457 1.029910 0.894665

0.982030 0.946144 0.619372 1.105905 0.733467 1.021587 0.671326 1.073065 0.938226 0.913304

0.985087 1.160047 1.159285 0.676324 1.121593 1.167147 1.094088 0.771294 1.031947 1.153834

1.038059 1.013599 0.921927 1.161822 0.780327 1.130757 1.000367 1.065965 1.000367 0.983421

0.913777 0.783719 0.810888 1.103243 1.299866 0.771294 0.778290 1.157384 0.939245 0.851174

1.081863 1.035788 1.200033 0.814784 0.995274 1.113893 1.158266 0.856500 1.074732 1.041113

0.971843 1.168035 0.836356 1.161822 0.978974 1.138745 0.913777 1.085491 0.987124 1.060640

0.948413 1.135195 1.003423 0.939043 0.860805 1.148508 0.949432 1.000285 0.887291 1.202650

1.096125 1.066853 0.955544 1.176023 0.894422 0.726028 0.966750 1.110343 1.197996 1.092592

1.001386 0.692300 0.986105 0.862713 0.793570 1.090817 0.998330 0.939043 0.932114 0.647035

0.784402 1.150284 1.167435 0.864488 1.027872 0.959457 1.165397 0.823660 0.773196 1.200875

1.129742 1.052651 1.016666 1.239040 1.108350 1.003835 1.038059 1.182236 1.135855 1.017149

0.944338 0.805909 0.971843 0.965670 0.911740 1.077503 0.949432 1.060640 0.920908 0.820997

0.971843 0.986972 1.013610 0.806796 0.949432 0.995847 0.979993 0.800583 0.961656 1.018036

1.043153 1.106793 1.139930 1.065965 1.062508 0.814784 1.153173 0.978096 1.094088 1.012711

1.070658 1.132532 1.010554 1.012711 0.948413 1.051764 1.037040 1.107680 1.052321 1.175135

1.235688 1.030462 0.884235 1.174248 1.129742 1.105018 0.882197 1.119219 1.275417 1.014486

